Sl No,Source,Destination,Distance,Execution Time
0,IIIT,Lingaraj Mandir,17,0.0006608
1,SUM Hospital,Lingaraj Mandir,13,0.001035
2,Fire Station,Lingaraj Mandir,9,0.0006345
3,AG Square,Lingaraj Mandir,6,0.0012301
4,Rajmahal Square,Lingaraj Mandir,6,0.0006309
5,AG Square,Lingaraj Mandir,6,0.0013443
6,Acharya Vihar,Lingaraj Mandir,10,0.0012529
7,Master Canteen,Lingaraj Mandir,8,0.0006421
8,Rajmahal Square,Lingaraj Mandir,6,0.0006289
9,AG Square,Lingaraj Mandir,6,0.0007199
10,Rajmahal Square,Lingaraj Mandir,6,0.0010677
11,Kalpana Square,Lingaraj Mandir,7,0.0009223
12,Rajmahal Square,Lingaraj Mandir,6,0.0006722
13,Master Canteen,Lingaraj Mandir,8,0.0006006
14,Rajmahal Square,Lingaraj Mandir,6,0.0006433
15,Master Canteen,Lingaraj Mandir,8,0.0006435
16,Rajmahal Square,Lingaraj Mandir,6,0.0006038
17,Lingraj  Station,Lingaraj Mandir,10,0.000739
18,Rajmahal Square,Lingaraj Mandir,6,0.000669
19,AG Square,Lingaraj Mandir,6,0.0005825
20,Jaydev Vihar,Lingaraj Mandir,11,0.0011405
21,AG Square,Lingaraj Mandir,6,0.0009249
22,Fire Station,Lingaraj Mandir,9,0.0012805
23,OUAT Square,Lingaraj Mandir,7,0.000573
24,AG Square,Lingaraj Mandir,6,0.0010898
25,OUAT Square,Lingaraj Mandir,7,0.0005947
26,Biju Pattnaik Airport,Lingaraj Mandir,4,0.0004715
27,OUAT Square,Lingaraj Mandir,7,0.0009074
28,Fire Station,Lingaraj Mandir,9,0.0010949
29,AG Square,Lingaraj Mandir,6,0.0005956
30,Rajmahal Square,Lingaraj Mandir,6,0.0006752
31,Lingraj  Station,Lingaraj Mandir,10,0.0006648
32,Rajmahal Square,Lingaraj Mandir,6,0.0005704
33,Lingraj  Station,Lingaraj Mandir,10,0.0007242
34,Rajmahal Square,Lingaraj Mandir,6,0.0006293
35,AG Square,Lingaraj Mandir,6,0.0005705
36,Rajmahal Square,Lingaraj Mandir,6,0.0009247
37,Master Canteen,Lingaraj Mandir,8,0.0007215
38,Rajmahal Square,Lingaraj Mandir,6,0.0009415
39,Lingraj  Station,Lingaraj Mandir,10,0.0008611
40,Rajmahal Square,Lingaraj Mandir,6,0.0005691
41,Master Canteen,Lingaraj Mandir,8,0.0006658
42,Vani Vihar,Lingaraj Mandir,12,0.0012975
43,Acharya Vihar,Lingaraj Mandir,10,0.0003958
44,Master Canteen,Lingaraj Mandir,8,0.0006864
45,Vani Vihar,Lingaraj Mandir,12,0.000693
46,Acharya Vihar,Lingaraj Mandir,10,0.0005144
47,Apollo Hospital,Lingaraj Mandir,12,0.0002876
48,Kalinga Hospital Square,Lingaraj Mandir,15,0.0004117
49,CARE Hospital,Lingaraj Mandir,15,0.0002123
50,Utkal Hospital,Lingaraj Mandir,18,0.0002034
51,CARE Hospital,Lingaraj Mandir,15,0.0002354
52,Kalinga Hospital Square,Lingaraj Mandir,15,0.0003091
53,Apollo Hospital,Lingaraj Mandir,12,0.000199
54,Kalinga Hospital Square,Lingaraj Mandir,15,0.0002861
55,CARE Hospital,Lingaraj Mandir,15,0.0001944
56,Utkal Hospital,Lingaraj Mandir,18,0.0002067
57,Trident Academy Of Technology,Lingaraj Mandir,16,0.0003785
58,Utkal Hospital,Lingaraj Mandir,18,0.0002039
59,CARE Hospital,Lingaraj Mandir,15,0.0003343
60,Kalinga Hospital Square,Lingaraj Mandir,15,0.0011768
61,Patia Square,Lingaraj Mandir,17,0.0002156
62,Kalinga Hospital Square,Lingaraj Mandir,15,0.0003841
63,Apollo Hospital,Lingaraj Mandir,12,0.0003819
64,Acharya Vihar,Lingaraj Mandir,10,0.0003495
65,Apollo Hospital,Lingaraj Mandir,12,0.0002298
66,Acharya Vihar,Lingaraj Mandir,10,0.0002019
67,IMMT,Lingaraj Mandir,11,0.0002476
68,Acharya Vihar,Lingaraj Mandir,10,0.0001903
69,Master Canteen,Lingaraj Mandir,8,0.0002012
70,Vani Vihar,Lingaraj Mandir,12,0.0001844
71,Acharya Vihar,Lingaraj Mandir,10,0.0002575
72,AG Square,Lingaraj Mandir,6,0.000235
73,Jaydev Vihar,Lingaraj Mandir,11,0.0002007
74,IMMT,Lingaraj Mandir,11,0.0003209
75,Acharya Vihar,Lingaraj Mandir,10,0.0002273
76,Apollo Hospital,Lingaraj Mandir,12,0.000385
77,Kalinga Hospital Square,Lingaraj Mandir,15,0.0001933
78,Apollo Hospital,Lingaraj Mandir,12,0.0001881
79,Acharya Vihar,Lingaraj Mandir,10,0.0002722
80,Vani Vihar,Lingaraj Mandir,12,0.0002032
81,Rasulgarh,Lingaraj Mandir,17,0.0002615
82,Hi-Tech,Lingaraj Mandir,19,0.0002462
83,Rasulgarh,Lingaraj Mandir,17,0.0002832
84,Hi-Tech,Lingaraj Mandir,19,0.0002036
85,Rasulgarh,Lingaraj Mandir,17,0.0002094
86,Hi-Tech,Lingaraj Mandir,19,0.000203
87,Rasulgarh,Lingaraj Mandir,17,0.0001949
88,Vani Vihar,Lingaraj Mandir,12,0.0002031
89,Master Canteen,Lingaraj Mandir,8,0.0002102
90,Acharya Vihar,Lingaraj Mandir,10,0.000281
91,Vani Vihar,Lingaraj Mandir,12,0.000238
92,Rasulgarh,Lingaraj Mandir,17,0.0002962
93,Vani Vihar,Lingaraj Mandir,12,0.0002586
94,Rasulgarh,Lingaraj Mandir,17,0.0001965
95,Hi-Tech,Lingaraj Mandir,19,0.0002499
96,Rasulgarh,Lingaraj Mandir,17,0.0001845
97,Hi-Tech,Lingaraj Mandir,19,0.0002449
98,Rasulgarh,Lingaraj Mandir,17,0.0001938
99,Vani Vihar,Lingaraj Mandir,12,0.0003725
