Sl No,Source,Destination,Distance,Execution Time
0,KIIT Square,OUAT Square,11,0.0007611
1,Patia Square,OUAT Square,13,0.0019971
2,Kalinga Hospital Square,OUAT Square,11,0.0006303
3,CARE Hospital,OUAT Square,11,0.0006876
4,Utkal Hospital,OUAT Square,14,0.0008733
5,CARE Hospital,OUAT Square,11,0.0004453
6,Kalinga Hospital Square,OUAT Square,11,0.0004403
7,Apollo Hospital,OUAT Square,8,0.0003317
8,Acharya Vihar,OUAT Square,6,0.000416
9,Vani Vihar,OUAT Square,8,0.0005687
10,Rasulgarh,OUAT Square,13,0.0003371
11,Vani Vihar,OUAT Square,8,0.0003622
12,Master Canteen,OUAT Square,4,0.0002707
13,Acharya Vihar,OUAT Square,6,0.0003215
14,Apollo Hospital,OUAT Square,8,0.000333
15,Kalinga Hospital Square,OUAT Square,11,0.000435
16,CARE Hospital,OUAT Square,11,0.0003382
17,Kalinga Hospital Square,OUAT Square,11,0.0003466
18,Apollo Hospital,OUAT Square,8,0.0003681
19,Acharya Vihar,OUAT Square,6,0.0003198
20,Apollo Hospital,OUAT Square,8,0.0003706
21,Acharya Vihar,OUAT Square,6,0.0003284
22,IMMT,OUAT Square,7,0.0003462
23,Jaydev Vihar,OUAT Square,7,0.0003741
24,AG Square,OUAT Square,2,0.0002524
25,OUAT Square,OUAT Square,0,0.0002598
26,Biju Pattnaik Airport,OUAT Square,3,0.0003347
27,OUAT Square,OUAT Square,0,0.0001939
28,Fire Station,OUAT Square,2,0.0002353
29,AG Square,OUAT Square,2,0.0002535
30,Rajmahal Square,OUAT Square,2,0.0002708
31,Lingraj  Station,OUAT Square,6,0.0002682
32,Rajmahal Square,OUAT Square,2,0.0002508
33,Lingraj  Station,OUAT Square,6,0.0002674
34,Rajmahal Square,OUAT Square,2,0.0002553
35,AG Square,OUAT Square,2,0.0002528
36,Rajmahal Square,OUAT Square,2,0.0002526
37,Master Canteen,OUAT Square,4,0.0002673
38,Rajmahal Square,OUAT Square,2,0.000262
39,Lingraj  Station,OUAT Square,6,0.0003574
40,Rajmahal Square,OUAT Square,2,0.0002539
41,Master Canteen,OUAT Square,4,0.0002646
42,Vani Vihar,OUAT Square,8,0.0003293
43,Acharya Vihar,OUAT Square,6,0.0003646
44,Master Canteen,OUAT Square,4,0.0002716
45,Vani Vihar,OUAT Square,8,0.0003288
46,Acharya Vihar,OUAT Square,6,0.0003201
47,Apollo Hospital,OUAT Square,8,0.0005224
48,Kalinga Hospital Square,OUAT Square,11,0.0003489
49,CARE Hospital,OUAT Square,11,0.0003368
50,Utkal Hospital,OUAT Square,14,0.0003696
51,CARE Hospital,OUAT Square,11,0.0004106
52,Kalinga Hospital Square,OUAT Square,11,0.000344
53,Apollo Hospital,OUAT Square,8,0.0003319
54,Kalinga Hospital Square,OUAT Square,11,0.0003387
55,CARE Hospital,OUAT Square,11,0.0003406
56,Utkal Hospital,OUAT Square,14,0.0004319
57,Trident Academy Of Technology,OUAT Square,12,0.0006396
58,Utkal Hospital,OUAT Square,14,0.0003713
59,CARE Hospital,OUAT Square,11,0.000368
60,Kalinga Hospital Square,OUAT Square,11,0.0003412
61,Patia Square,OUAT Square,13,0.0003761
62,Kalinga Hospital Square,OUAT Square,11,0.0003867
63,Apollo Hospital,OUAT Square,8,0.0003304
64,Acharya Vihar,OUAT Square,6,0.0003259
65,Apollo Hospital,OUAT Square,8,0.0003551
66,Acharya Vihar,OUAT Square,6,0.0003533
67,IMMT,OUAT Square,7,0.0003428
68,Acharya Vihar,OUAT Square,6,0.0003199
69,Master Canteen,OUAT Square,4,0.0003311
70,Vani Vihar,OUAT Square,8,0.0004268
71,Acharya Vihar,OUAT Square,6,0.0003209
72,AG Square,OUAT Square,2,0.0002491
73,Jaydev Vihar,OUAT Square,7,0.0003726
74,IMMT,OUAT Square,7,0.0004069
75,Acharya Vihar,OUAT Square,6,0.000341
76,Apollo Hospital,OUAT Square,8,0.0003327
77,Kalinga Hospital Square,OUAT Square,11,0.0003359
78,Apollo Hospital,OUAT Square,8,0.0005364
79,Acharya Vihar,OUAT Square,6,0.0003716
80,Vani Vihar,OUAT Square,8,0.0003319
81,Rasulgarh,OUAT Square,13,0.0003505
82,Hi-Tech,OUAT Square,15,0.0003281
83,Rasulgarh,OUAT Square,13,0.0004645
84,Hi-Tech,OUAT Square,15,0.0003274
85,Rasulgarh,OUAT Square,13,0.0003437
86,Hi-Tech,OUAT Square,15,0.0003288
87,Rasulgarh,OUAT Square,13,0.0003314
88,Vani Vihar,OUAT Square,8,0.0003287
89,Master Canteen,OUAT Square,4,0.0003589
90,Acharya Vihar,OUAT Square,6,0.0005345
91,Vani Vihar,OUAT Square,8,0.0003274
92,Rasulgarh,OUAT Square,13,0.0003339
93,Vani Vihar,OUAT Square,8,0.0003755
94,Rasulgarh,OUAT Square,13,0.0003924
95,Hi-Tech,OUAT Square,15,0.0003311
96,Rasulgarh,OUAT Square,13,0.0003274
97,Hi-Tech,OUAT Square,15,0.0003258
98,Rasulgarh,OUAT Square,13,0.0003262
99,Vani Vihar,OUAT Square,8,0.0003313
