Sl No,Source,Destination,Distance,Execution Time
0,OUAT Square,Silicon Institute of Technology,11,0.0007758
1,Jagamara,Silicon Institute of Technology,14,0.0013859
2,ITER,Silicon Institute of Technology,15,0.0008425
3,Jagamara,Silicon Institute of Technology,14,0.0014145
4,OUAT Square,Silicon Institute of Technology,11,0.0005213
5,AG Square,Silicon Institute of Technology,9,0.0005426
6,Acharya Vihar,Silicon Institute of Technology,7,0.0002738
7,Master Canteen,Silicon Institute of Technology,11,0.0003273
8,Rajmahal Square,Silicon Institute of Technology,9,0.0003407
9,AG Square,Silicon Institute of Technology,9,0.0003292
10,Rajmahal Square,Silicon Institute of Technology,9,0.0003689
11,Kalpana Square,Silicon Institute of Technology,10,0.0003244
12,Rajmahal Square,Silicon Institute of Technology,9,0.0003229
13,Master Canteen,Silicon Institute of Technology,11,0.0003899
14,Rajmahal Square,Silicon Institute of Technology,9,0.00034
15,Master Canteen,Silicon Institute of Technology,11,0.0004407
16,Rajmahal Square,Silicon Institute of Technology,9,0.000321
17,Lingraj  Station,Silicon Institute of Technology,13,0.000339
18,Rajmahal Square,Silicon Institute of Technology,9,0.000324
19,AG Square,Silicon Institute of Technology,9,0.0003405
20,Jaydev Vihar,Silicon Institute of Technology,4,0.0002064
21,AG Square,Silicon Institute of Technology,9,0.0001776
22,Fire Station,Silicon Institute of Technology,9,0.000153
23,OUAT Square,Silicon Institute of Technology,11,0.0001638
24,AG Square,Silicon Institute of Technology,9,0.0001679
25,OUAT Square,Silicon Institute of Technology,11,0.000244
26,Biju Pattnaik Airport,Silicon Institute of Technology,11,0.0001745
27,OUAT Square,Silicon Institute of Technology,11,0.0001649
28,Fire Station,Silicon Institute of Technology,9,0.0001632
29,AG Square,Silicon Institute of Technology,9,0.0002592
30,Rajmahal Square,Silicon Institute of Technology,9,0.0001753
31,Lingraj  Station,Silicon Institute of Technology,13,0.0002486
32,Rajmahal Square,Silicon Institute of Technology,9,0.0001674
33,Lingraj  Station,Silicon Institute of Technology,13,0.0001732
34,Rajmahal Square,Silicon Institute of Technology,9,0.0001746
35,AG Square,Silicon Institute of Technology,9,0.0001655
36,Rajmahal Square,Silicon Institute of Technology,9,0.0001775
37,Master Canteen,Silicon Institute of Technology,11,0.000175
38,Rajmahal Square,Silicon Institute of Technology,9,0.0002537
39,Lingraj  Station,Silicon Institute of Technology,13,0.0001712
40,Rajmahal Square,Silicon Institute of Technology,9,0.0001982
41,Master Canteen,Silicon Institute of Technology,11,0.0001833
42,Vani Vihar,Silicon Institute of Technology,9,0.0001576
43,Acharya Vihar,Silicon Institute of Technology,7,0.0001506
44,Master Canteen,Silicon Institute of Technology,11,0.0001675
45,Vani Vihar,Silicon Institute of Technology,9,0.0001744
46,Acharya Vihar,Silicon Institute of Technology,7,0.000236
47,Apollo Hospital,Silicon Institute of Technology,9,0.0002347
48,Kalinga Hospital Square,Silicon Institute of Technology,6,0.0001152
49,CARE Hospital,Silicon Institute of Technology,6,0.0001255
50,Utkal Hospital,Silicon Institute of Technology,3,0.000121
51,CARE Hospital,Silicon Institute of Technology,6,0.0001163
52,Kalinga Hospital Square,Silicon Institute of Technology,6,0.0001166
53,Apollo Hospital,Silicon Institute of Technology,9,0.0002274
54,Kalinga Hospital Square,Silicon Institute of Technology,6,0.0001271
55,CARE Hospital,Silicon Institute of Technology,6,0.0001299
56,Utkal Hospital,Silicon Institute of Technology,3,9.71e-05
57,Trident Academy Of Technology,Silicon Institute of Technology,1,9.74e-05
58,Utkal Hospital,Silicon Institute of Technology,3,0.0001097
59,CARE Hospital,Silicon Institute of Technology,6,0.0001169
60,Kalinga Hospital Square,Silicon Institute of Technology,6,0.0001163
61,Patia Square,Silicon Institute of Technology,6,0.0001198
62,Kalinga Hospital Square,Silicon Institute of Technology,6,0.0001304
63,Apollo Hospital,Silicon Institute of Technology,9,0.0002862
